ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
116,0.0000,300.0000,-9892.7233,1760.8303,0.500000,0.500000,1.000000,,False,10000.0000
117,0.0000,300.0000,-9822.8725,2173.8131,0.500000,0.500000,1.000000,,False,10000.0000
118,0.0000,300.0000,-9735.7890,2583.5087,0.500000,0.500000,1.000000,,False,10000.0000
119,0.0000,300.0000,-9631.6257,2989.1982,0.500000,0.500000,1.000000,,False,10000.0000
120,0.0000,300.0000,-9510.5652,3390.1699,0.500000,0.500000,1.000000,,False,10000.0000
121,0.0000,300.0000,-9372.8199,3785.7205,0.500000,0.500000,1.000000,,False,10000.0000
122,0.0000,300.0000,-9218.6315,4175.1559,0.500000,0.500000,1.000000,,False,10000.0000
123,0.0000,300.0000,-9048.2705,4557.7929,0.500000,0.500000,1.000000,,False,10000.0000
124,0.0000,300.0000,-8862.0358,4932.9604,0.500000,0.500000,1.000000,,False,10000.0000
125,0.0000,300.0000,-8660.2540,5300.0000,0.500000,0.500000,1.000000,,False,10000.0000
126,0.0000,300.0000,-8443.2793,5658.2679,0.500000,0.500000,1.000000,,False,10000.0000
127,0.0000,300.0000,-8211.4921,6007.1357,0.500000,0.500000,1.000000,,False,10000.0000
128,0.0000,300.0000,-7965.2992,6345.9911,0.500000,0.500000,1.000000,,False,10000.0000
129,0.0000,300.0000,-7705.1324,6674.2399,0.500000,0.500000,1.000000,,False,10000.0000
130,0.0000,300.0000,-7431.4483,6991.3061,0.500000,0.500000,1.000000,,False,10000.0000
131,0.0000,300.0000,-7144.7268,7296.6334,0.500000,0.500000,1.000000,,False,10000.0000
132,0.0000,300.0000,-6845.4711,7589.6863,0.500000,0.500000,1.000000,,False,10000.0000
133,0.0000,300.0000,-6534.2060,7869.9506,0.500000,0.500000,1.000000,,False,10000.0000
134,0.0000,300.0000,-6211.4778,8136.9346,0.500000,0.500000,1.000000,,False,10000.0000
135,0.0000,300.0000,-5877.8525,8390.1699,0.500000,0.500000,1.000000,,False,10000.0000
136,0.0000,300.0000,-5533.9155,8629.2124,0.500000,0.500000,1.000000,,False,10000.0000
137,0.0000,300.0000,-5180.2701,8853.6426,0.500000,0.500000,1.000000,,False,10000.0000
138,0.0000,300.0000,-4817.5367,9063.0668,0.500000,0.500000,1.000000,,False,10000.0000
139,0.0000,300.0000,-4446.3518,9257.1176,0.500000,0.500000,1.000000,,False,10000.0000
140,0.0000,300.0000,-4067.3664,9435.4546,0.500000,0.500000,1.000000,,False,10000.0000
141,0.0000,300.0000,-3681.2455,9597.7649,0.500000,0.500000,1.000000,,False,10000.0000
142,0.0000,300.0000,-3288.6665,9743.7637,0.500000,0.500000,1.000000,,False,10000.0000
143,0.0000,300.0000,-2890.3180,9873.1950,0.500000,0.500000,1.000000,,False,10000.0000
144,0.0000,300.0000,-2486.8989,9985.8316,0.500000,0.500000,1.000000,,False,10000.0000
145,0.0000,300.0000,-2079.1169,10081.4760,0.500000,0.500000,1.000000,,False,10000.0000
146,0.0000,300.0000,-1667.6875,10159.9604,0.500000,0.500000,1.000000,,False,10000.0000
147,0.0000,300.0000,-1253.3323,10221.1470,0.500000,0.500000,1.000000,,False,10000.0000
148,0.0000,300.0000,-836.7784,10264.9286,0.500000,0.500000,1.000000,,False,10000.0000
149,0.0000,300.0000,-418.7565,10291.2283,0.500000,0.500000,1.000000,,False,10000.0000
150,100.0000,397.9272,300.0000,397.9272,0.500000,0.500000,1.000000,,False,200.0000
151,100.0000,390.0404,300.0000,390.0404,0.500000,0.500000,1.000000,,False,200.0000
152,100.0000,382.7272,300.0000,382.7272,0.500000,0.500000,1.000000,,False,200.0000
153,100.0000,375.9041,300.0000,375.9041,0.500000,0.500000,1.000000,,False,200.0000
154,100.0000,369.5018,300.0000,369.5018,0.500000,0.500000,1.000000,,False,200.0000
155,100.0000,363.4619,300.0000,363.4619,0.500000,0.500000,1.000000,,False,200.0000
156,100.0000,357.7350,300.0000,357.7350,0.500000,0.500000,1.000000,,False,200.0000
157,100.0000,352.2787,300.0000,352.2787,0.500000,0.500000,1.000000,,False,200.0000
158,100.0000,347.0564,300.0000,347.0564,0.500000,0.500000,1.000000,,False,200.0000
159,100.0000,342.0361,300.0000,342.0361,0.500000,0.500000,1.000000,,False,200.0000
160,100.0000,337.1897,300.0000,337.1897,0.500000,0.500000,1.000000,,False,200.0000
161,100.0000,332.4920,300.0000,332.4920,0.500000,0.500000,1.000000,,False,200.0000
162,100.0000,327.9205,300.0000,327.9205,0.500000,0.500000,1.000000,,False,200.0000
163,100.0000,323.4548,300.0000,323.4548,0.500000,0.500000,1.000000,,False,200.0000
164,100.0000,319.0760,300.0000,319.0760,0.500000,0.500000,1.000000,,False,200.0000
