ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
65,0.0000,300.0000,4067.3664,-8835.4546,0.500000,0.500000,1.000000,,False,10000.0000
66,0.0000,300.0000,3681.2455,-8997.7649,0.500000,0.500000,1.000000,,False,10000.0000
67,0.0000,300.0000,3288.6665,-9143.7637,0.500000,0.500000,1.000000,,False,10000.0000
68,0.0000,300.0000,2890.3180,-9273.1950,0.500000,0.500000,1.000000,,False,10000.0000
69,0.0000,300.0000,2486.8989,-9385.8316,0.500000,0.500000,1.000000,,False,10000.0000
70,0.0000,300.0000,2079.1169,-9481.4760,0.500000,0.500000,1.000000,,False,10000.0000
71,0.0000,300.0000,1667.6875,-9559.9604,0.500000,0.500000,1.000000,,False,10000.0000
72,0.0000,300.0000,1253.3323,-9621.1470,0.500000,0.500000,1.000000,,False,10000.0000
73,0.0000,300.0000,836.7784,-9664.9286,0.500000,0.500000,1.000000,,False,10000.0000
74,0.0000,300.0000,418.7565,-9691.2283,0.500000,0.500000,1.000000,,False,10000.0000
75,0.0000,300.0000,-0.0000,-9700.0000,0.500000,0.500000,1.000000,,False,10000.0000
76,0.0000,300.0000,-418.7565,-9691.2283,0.500000,0.500000,1.000000,,False,10000.0000
77,0.0000,300.0000,-836.7784,-9664.9286,0.500000,0.500000,1.000000,,False,10000.0000
78,0.0000,300.0000,-1253.3323,-9621.1470,0.500000,0.500000,1.000000,,False,10000.0000
79,0.0000,300.0000,-1667.6875,-9559.9604,0.500000,0.500000,1.000000,,False,10000.0000
80,0.0000,300.0000,-2079.1169,-9481.4760,0.500000,0.500000,1.000000,,False,10000.0000
81,0.0000,300.0000,-2486.8989,-9385.8316,0.500000,0.500000,1.000000,,False,10000.0000
82,0.0000,300.0000,-2890.3180,-9273.1950,0.500000,0.500000,1.000000,,False,10000.0000
83,0.0000,300.0000,-3288.6665,-9143.7637,0.500000,0.500000,1.000000,,False,10000.0000
84,0.0000,300.0000,-3681.2455,-8997.7649,0.500000,0.500000,1.000000,,False,10000.0000
85,0.0000,300.0000,-4067.3664,-8835.4546,0.500000,0.500000,1.000000,,False,10000.0000
86,0.0000,300.0000,-4446.3518,-8657.1176,0.500000,0.500000,1.000000,,False,10000.0000
87,0.0000,300.0000,-4817.5367,-8463.0668,0.500000,0.500000,1.000000,,False,10000.0000
88,0.0000,300.0000,-5180.2701,-8253.6426,0.500000,0.500000,1.000000,,False,10000.0000
89,0.0000,300.0000,-5533.9155,-8029.2124,0.500000,0.500000,1.000000,,False,10000.0000
90,0.0000,300.0000,-5877.8525,-7790.1699,0.500000,0.500000,1.000000,,False,10000.0000
91,0.0000,300.0000,-6211.4778,-7536.9346,0.500000,0.500000,1.000000,,False,10000.0000
92,0.0000,300.0000,-6534.2060,-7269.9506,0.500000,0.500000,1.000000,,False,10000.0000
93,0.0000,300.0000,-6845.4711,-6989.6863,0.500000,0.500000,1.000000,,False,10000.0000
94,0.0000,300.0000,-7144.7268,-6696.6334,0.500000,0.500000,1.000000,,False,10000.0000
95,0.0000,300.0000,-7431.4483,-6391.3061,0.500000,0.500000,1.000000,,False,10000.0000
96,0.0000,300.0000,-7705.1324,-6074.2399,0.500000,0.500000,1.000000,,False,10000.0000
97,0.0000,300.0000,-7965.2992,-5745.9911,0.500000,0.500000,1.000000,,False,10000.0000
98,0.0000,300.0000,-8211.4921,-5407.1357,0.500000,0.500000,1.000000,,False,10000.0000
99,0.0000,300.0000,-8443.2793,-5058.2679,0.500000,0.500000,1.000000,,False,10000.0000
100,0.0000,300.0000,-8660.2540,-4700.0000,0.500000,0.500000,1.000000,,False,10000.0000
101,0.0000,300.0000,-8862.0358,-4332.9604,0.500000,0.500000,1.000000,,False,10000.0000
102,0.0000,300.0000,-9048.2705,-3957.7929,0.500000,0.500000,1.000000,,False,10000.0000
103,0.0000,300.0000,-9218.6315,-3575.1559,0.500000,0.500000,1.000000,,False,10000.0000
104,0.0000,300.0000,-9372.8199,-3185.7205,0.500000,0.500000,1.000000,,False,10000.0000
105,0.0000,300.0000,-9510.5652,-2790.1699,0.500000,0.500000,1.000000,,False,10000.0000
106,0.0000,300.0000,-9631.6257,-2389.1982,0.500000,0.500000,1.000000,,False,10000.0000
107,0.0000,300.0000,-9735.7890,-1983.5087,0.500000,0.500000,1.000000,,False,10000.0000
108,0.0000,300.0000,-9822.8725,-1573.8131,0.500000,0.500000,1.000000,,False,10000.0000
109,0.0000,300.0000,-9892.7233,-1160.8303,0.500000,0.500000,1.000000,,False,10000.0000
110,0.0000,300.0000,-9945.2190,-745.2846,0.500000,0.500000,1.000000,,False,10000.0000
111,0.0000,300.0000,-9980.2673,-327.9052,0.500000,0.500000,1.000000,,False,10000.0000
112,0.0000,300.0000,-9997.8068,90.5758,0.500000,0.500000,1.000000,,False,10000.0000
113,0.0000,300.0000,-9997.8068,509.4242,0.500000,0.500000,1.000000,,False,10000.0000
114,0.0000,300.0000,-9980.2673,927.9052,0.500000,0.500000,1.000000,,False,10000.0000
115,0.0000,300.0000,-9945.2190,1345.2846,0.500000,0.500000,1.000000,,False,10000.0000
116,0.0000,300.0000,-9892.7233,1760.8303,0.500000,0.500000,1.000000,,False,10000.0000
117,0.0000,300.0000,-9822.8725,2173.8131,0.500000,0.500000,1.000000,,False,10000.0000
118,0.0000,300.0000,-9735.7890,2583.5087,0.500000,0.500000,1.000000,,False,10000.0000
119,0.0000,300.0000,-9631.6257,2989.1982,0.500000,0.500000,1.000000,,False,10000.0000
120,0.0000,300.0000,-9510.5652,3390.1699,0.500000,0.500000,1.000000,,False,10000.0000
121,0.0000,300.0000,-9372.8199,3785.7205,0.500000,0.500000,1.000000,,False,10000.0000
122,0.0000,300.0000,-9218.6315,4175.1559,0.500000,0.500000,1.000000,,False,10000.0000
123,0.0000,300.0000,-9048.2705,4557.7929,0.500000,0.500000,1.000000,,False,10000.0000
124,0.0000,300.0000,-8862.0358,4932.9604,0.500000,0.500000,1.000000,,False,10000.0000
125,0.0000,300.0000,-8660.2540,5300.0000,0.500000,0.500000,1.000000,,False,10000.0000
126,0.0000,300.0000,-8443.2793,5658.2679,0.500000,0.500000,1.000000,,False,10000.0000
127,0.0000,300.0000,-8211.4921,6007.1357,0.500000,0.500000,1.000000,,False,10000.0000
128,0.0000,300.0000,-7965.2992,6345.9911,0.500000,0.500000,1.000000,,False,10000.0000
129,0.0000,300.0000,-7705.1324,6674.2399,0.500000,0.500000,1.000000,,False,10000.0000
130,0.0000,300.0000,-7431.4483,6991.3061,0.500000,0.500000,1.000000,,False,10000.0000
131,0.0000,300.0000,-7144.7268,7296.6334,0.500000,0.500000,1.000000,,False,10000.0000
132,0.0000,300.0000,-6845.4711,7589.6863,0.500000,0.500000,1.000000,,False,10000.0000
133,0.0000,300.0000,-6534.2060,7869.9506,0.500000,0.500000,1.000000,,False,10000.0000
134,0.0000,300.0000,-6211.4778,8136.9346,0.500000,0.500000,1.000000,,False,10000.0000
135,0.0000,300.0000,-5877.8525,8390.1699,0.500000,0.500000,1.000000,,False,10000.0000
136,0.0000,300.0000,-5533.9155,8629.2124,0.500000,0.500000,1.000000,,False,10000.0000
137,0.0000,300.0000,-5180.2701,8853.6426,0.500000,0.500000,1.000000,,False,10000.0000
138,0.0000,300.0000,-4817.5367,9063.0668,0.500000,0.500000,1.000000,,False,10000.0000
139,0.0000,300.0000,-4446.3518,9257.1176,0.500000,0.500000,1.000000,,False,10000.0000
140,0.0000,300.0000,-4067.3664,9435.4546,0.500000,0.500000,1.000000,,False,10000.0000
141,0.0000,300.0000,-3681.2455,9597.7649,0.500000,0.500000,1.000000,,False,10000.0000
142,0.0000,300.0000,-3288.6665,9743.7637,0.500000,0.500000,1.000000,,False,10000.0000
143,0.0000,300.0000,-2890.3180,9873.1950,0.500000,0.500000,1.000000,,False,10000.0000
144,0.0000,300.0000,-2486.8989,9985.8316,0.500000,0.500000,1.000000,,False,10000.0000
145,0.0000,300.0000,-2079.1169,10081.4760,0.500000,0.500000,1.000000,,False,10000.0000
146,0.0000,300.0000,-1667.6875,10159.9604,0.500000,0.500000,1.000000,,False,10000.0000
147,0.0000,300.0000,-1253.3323,10221.1470,0.500000,0.500000,1.000000,,False,10000.0000
148,0.0000,300.0000,-836.7784,10264.9286,0.500000,0.500000,1.000000,,False,10000.0000
149,0.0000,300.0000,-418.7565,10291.2283,0.500000,0.500000,1.000000,,False,10000.0000
150,202.3457,375.2517,488.7136,10371.1505,0.072977,0.000005,0.072982,,False,10000.0000
151,202.3457,375.2517,232.3442,374.1730,0.427023,0.499995,0.927018,,False,30.0179
152,194.3156,363.1370,-1385.2803,10237.5927,0.054781,0.001887,0.056668,,False,10000.0000
153,194.3156,363.1370,233.9488,362.4327,0.445219,0.498113,0.943332,,False,39.6395
154,188.2853,352.5702,-2978.2038,9837.9983,0.043653,0.005057,0.048710,,False,10000.0000
155,188.2853,352.5702,234.7818,352.0707,0.456347,0.494943,0.951290,,False,46.4992
156,183.5504,343.0514,-4348.9610,9256.8800,0.036309,0.008250,0.044559,,False,10000.0000
157,183.5504,343.0514,235.0718,342.4938,0.463691,0.491750,0.955441,,False,51.5244
158,179.7289,334.2851,-5532.0156,8542.5721,0.031223,0.011108,0.042331,,False,10000.0000
159,179.7289,334.2851,234.9230,333.4149,0.468777,0.488892,0.957669,,False,55.2009
160,176.5903,326.0766,-6549.3767,7726.1690,0.027594,0.013540,0.041135,,False,10000.0000
161,176.5903,326.0766,234.3896,324.6780,0.472406,0.486460,0.958865,,False,57.8162
162,173.9854,318.2866,-7415.8177,6829.4224,0.024964,0.015545,0.040509,,False,10000.0000
163,173.9854,318.2866,233.5023,316.1925,0.475036,0.484455,0.959491,,False,59.5537
164,171.8134,310.8096,-8141.5016,5868.5783,0.023055,0.017145,0.040200,,False,10000.0000
165,171.8134,310.8096,232.2794,307.9031,0.476945,0.482855,0.959800,,False,60.5357
166,170.0046,303.5611,-8733.4314,4856.4533,0.021695,0.018368,0.040063,,False,10000.0000
167,170.0046,303.5611,230.7321,299.7749,0.478305,0.481632,0.959937,,False,60.8454
168,168.5098,296.4702,-9196.2998,3803.6545,0.020774,0.019239,0.040013,,False,10000.0000
169,168.5098,296.4702,228.8671,291.7847,0.479226,0.480761,0.959987,,False,60.5388
